"date_format(`log_date`,'%Y-%m-%d')";"date_format(`log_date`,'%H')";"count(*)";"TRAKKER";"log_op";"log_offre";"log_service";"ERREURE"
"2019-01-06";"14";"30";"0";"1";"260";"sendpin";"NOK;011"
"2019-01-06";"14";"158";"0";"1";"260";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"2";"1";"sendpin";"NOK;011"
"2019-01-06";"14";"9";"0";"2";"1";"sendpin";"OK"
"2019-01-06";"14";"8";"0";"2";"18";"sendpin";"NOK;011"
"2019-01-06";"14";"27";"0";"2";"18";"sendpin";"OK"
"2019-01-06";"14";"20";"0";"2";"43";"sendpin";"NOK;011"
"2019-01-06";"14";"13";"0";"2";"43";"sendpin";"OK"
"2019-01-06";"14";"6";"0";"2";"49";"sendpin";"NOK;011"
"2019-01-06";"14";"1";"0";"2";"49";"sendpin";"NOK;012"
"2019-01-06";"14";"33";"0";"2";"49";"sendpin";"OK"
"2019-01-06";"14";"4";"0";"2";"140";"sendpin";"NOK;011"
"2019-01-06";"14";"9";"0";"2";"140";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"2";"158";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"2";"158";"sendpin";"NOK;012"
"2019-01-06";"14";"7";"0";"2";"158";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"2";"7076";"sendpin";"OK"
"2019-01-06";"14";"5";"0";"2";"7144";"sendpin";"NOK;011"
"2019-01-06";"14";"39";"0";"2";"7144";"sendpin";"OK"
"2019-01-06";"14";"5";"0";"2";"7146";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"2";"7146";"sendpin";"NOK;012"
"2019-01-06";"14";"24";"0";"2";"7146";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"31";"1";"sendpin";"NOK;011"
"2019-01-06";"14";"12";"0";"31";"1";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"31";"18";"sendpin";"NOK;011"
"2019-01-06";"14";"10";"0";"31";"18";"sendpin";"OK"
"2019-01-06";"14";"11";"0";"31";"43";"sendpin";"NOK;011"
"2019-01-06";"14";"11";"0";"31";"43";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"31";"49";"sendpin";"NOK;011"
"2019-01-06";"14";"12";"0";"31";"49";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"31";"140";"sendpin";"NOK;011"
"2019-01-06";"14";"4";"0";"31";"140";"sendpin";"OK"
"2019-01-06";"14";"4";"0";"31";"158";"sendpin";"OK"
"2019-01-06";"14";"5";"0";"31";"7076";"sendpin";"OK"
"2019-01-06";"14";"5";"0";"31";"7144";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"31";"7144";"sendpin";"NOK;012"
"2019-01-06";"14";"21";"0";"31";"7144";"sendpin";"OK"
"2019-01-06";"14";"7";"0";"31";"7146";"sendpin";"NOK;011"
"2019-01-06";"14";"6";"0";"31";"7146";"sendpin";"OK"
"2019-01-06";"14";"4";"0";"40";"19";"sendpin";"OK"
"2019-01-06";"14";"6";"0";"40";"24";"sendpin";"OK"
"2019-01-06";"14";"8";"0";"40";"42";"sendpin";"NOK;011"
"2019-01-06";"14";"24";"0";"40";"42";"sendpin";"OK"
"2019-01-06";"14";"8";"0";"40";"5612";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"40";"5612";"sendpin";"NOK;013"
"2019-01-06";"14";"40";"0";"40";"5612";"sendpin";"OK"
"2019-01-06";"14";"30";"0";"40";"6256";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"40";"6256";"sendpin";"NOK;012"
"2019-01-06";"14";"35";"0";"40";"6256";"sendpin";"OK"
"2019-01-06";"14";"3";"0";"40";"6258";"sendpin";"NOK;011"
"2019-01-06";"14";"8";"0";"40";"6258";"sendpin";"OK"
"2019-01-06";"14";"8";"0";"40";"6732";"sendpin";"NOK;011"
"2019-01-06";"14";"1";"0";"40";"6732";"sendpin";"NOK;012"
"2019-01-06";"14";"39";"0";"40";"6732";"sendpin";"OK"
"2019-01-06";"14";"3";"0";"40";"7150";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"40";"7150";"sendpin";"NOK;012"
"2019-01-06";"14";"8";"0";"40";"7150";"sendpin";"OK"
"2019-01-06";"14";"3";"0";"40";"7194";"sendpin";"OK"
"2019-01-06";"14";"19";"0";"41";"26";"sendpin";"NOK;011"
"2019-01-06";"14";"12";"0";"41";"26";"sendpin";"OK"
"2019-01-06";"14";"1";"0";"41";"27";"sendpin";"NOK;011"
"2019-01-06";"14";"7";"0";"41";"27";"sendpin";"OK"
"2019-01-06";"14";"3";"0";"41";"31";"sendpin";"NOK;011"
"2019-01-06";"14";"2";"0";"41";"31";"sendpin";"NOK;012"
